Original_trait,Trait_spell_corrected,Context_needed,Primary_classification,Secondary_classification,Tertiary_classification,Revised_major_class,Revised_fine_class,4th_class,Revision_addressed,Revision_suggested,NOTES,Reviewed
SLA,SLA,0,morphology,leaf area,,leaf area,SLA,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
specific area,specific area,1,morphology,leaf area,,leaf area,specific area,,,,,NH
terminal leaf area ratio,terminal leaf area ratio,0,morphology,leaf area,,leaf area,terminal leaf area ratio,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
total leaf area,total leaf area,0,morphology,leaf area,,leaf area,total leaf area,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
total leaf area of a twig:twig cross-sectional area,total leaf area of a twig:twig cross-sectional area,0,morphology,leaf area,,leaf area,total leaf area of a twig:twig cross-sectional area,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
rosette type,rosette type,0,morphology,leaf shape,rosette type,rosette type,rosette type,,1,NH: type/types combine,,NH
rosette types,rosette types,0,morphology,leaf shape,rosette type,rosette type,rosette type,,1,NH: type/types combine,,NH
form index of leaf shape,form index of leaf shape,0,morphology,leaf shape,,leaf shape,form index of leaf shape,,,,,NH
lamina thickness,lamina thickness,0,morphology,leaf shape,,leaf shape,lamina thickness,,,,,NH
laminar dissection,laminar dissection,0,morphology,leaf shape,,leaf shape,laminar dissection,,,,,NH
laminar morphology,laminar morphology,0,morphology,leaf shape,,leaf shape,laminar morphology,,,,,NH
laminar thickness,laminar thickness,0,morphology,leaf shape,,leaf shape,laminar thickness,,,,,NH
leaf anantomy,leaf anatomy,0,morphology,leaf shape,,leaf shape,leaf anatomy,,,,,NH
leaf aspect ratio,leaf aspect ratio,0,morphology,leaf shape,,leaf shape,leaf aspect ratio,,,,,NH
leaf dimension,leaf dimension,0,morphology,leaf shape,,leaf shape,leaf dimension,,,,,NH
leaf form,leaf form,0,morphology,leaf shape,,leaf shape,leaf form,,,,,NH
leaf habit of woody species,leaf habit of woody species,0,morphology,leaf shape,,leaf shape,leaf habit of woody species,,,,,NH
leaf height,leaf height,0,morphology,leaf shape,,leaf shape,leaf height,,,,,NH
leaf length/width ratio,leaf length/width ratio,0,morphology,leaf shape,,leaf shape,leaf length/width ratio,,,,,NH
leaf lobation,leaf lobation,0,morphology,leaf shape,,leaf shape,leaf lobation,,,,,NH
leaf margin,leaf margin,0,morphology,leaf shape,,leaf shape,leaf margin,,,,,NH
leaf pubescence,leaf pubescence,0,morphology,leaf shape,,leaf shape,leaf pubescence,,,,,NH
leaf pulvination,leaf pulvination,0,morphology,leaf shape,,leaf shape,leaf pulvination,,,,,NH
leaf shape,leaf shape,0,morphology,leaf shape,,leaf shape,leaf shape,,,,,NH
leaf slenderness,leaf slenderness,0,morphology,leaf shape,,leaf shape,leaf slenderness,,,,,NH
leaf thickness,leaf thickness,0,morphology,leaf shape,,leaf shape,leaf thickness,,,,,NH
leaf type,leaf type,0,morphology,leaf shape,,leaf shape,leaf type,,,,,NH
leaf width: length ratio,leaf width: length ratio,0,morphology,leaf shape,,leaf shape,leaf width: length ratio,,,,,NH
reduced leaves,reduced leaves,0,morphology,leaf shape,,leaf shape,reduced leaves,,,,,NH
leaf conductivity,leaf conductivity,0,composition,leaf traits,,leaf traits,leaf conductivity,,1,1,secondary 'leaf traits',CB
leaf conssistency,leaf consistency,0,composition,leaf traits,,leaf traits,leaf consistency,,1,1,secondary 'leaf traits',CB
leaf content %,leaf content %,0,composition,leaf traits,,leaf traits,leaf content %,,1,1,secondary 'leaf traits',CB
leaf deciduousness,leaf deciduousness,0,growth,leaf traits,deciduousness,deciduousness,deciduousness,,,,,CB
deciduouness,deciduousness,0,growth,leaf traits,deciduousness,deciduousness,deciduousness,,1,"NH: For primary, I view this more as a life history strategy, and for secondary suggesting this is to do with resource preservation/survival, also typo --> ""deciduousness""",,NH
leaf phenology,leaf phenology,0,growth,leaf traits,phenology,phenology,phenology,,,,,CB
leaf duration,leaf duration,0,growth,leaf traits,,leaf traits,leaf duration,,,,,CB
leaf fresh weight,leaf fresh weight,0,growth,leaf traits,,leaf traits,leaf fresh weight,,,,,CB
leaf life span,leaf life span,0,growth,leaf traits,,leaf traits,leaf life span,,,,,CB
leaf lifespan,leaf lifespan,0,growth,leaf traits,,leaf traits,leaf lifespan,,,,,CB
leaf persistence,leaf persistence,0,growth,leaf traits,,leaf traits,leaf persistence,,,,,CB
indusium,indusium,1,morphology,leaf traits,,leaf traits,indusium,,1,NH: leaf morphometrics,CB: part of a fern's leaf,NH
LDMC,LDMC,0,morphology,leaf traits,,leaf traits,LDMC,,1,1,secondary 'leaf traits',CB
leaf angle,leaf angle,0,morphology,leaf traits,,leaf traits,leaf angle,,1,NH: resource acquisition/nutrition?,,NH
leaf compoundness,leaf compoundness,0,morphology,leaf traits,,leaf traits,leaf compoundness,,1,1,secondary 'leaf traits',CB
leaf distribution,leaf distribution,0,morphology,leaf traits,,leaf traits,leaf distribution,,1,NH: resource acquisition/nutrition?,,NH
number of rossette leaves,number of rosette leaves,0,morphology,leaf traits,,leaf traits,number of rosette leaves,,1,NH: more context/application needed,,NH
relative leg length,relative leg length,0,morphology,bone length/shape,,leg length,relative leg length,,1,"NH: I view these as similar, combine",,NH
relative limb length,relative limb length,0,morphology,bone length/shape,,leg length,relative limb length,,1,"NH: I view these as similar, combine",,NH
adaptable life cycle,adaptable life cycle,0,life history,life cycle,,life cycle,adaptable life cycle,,,,,CB
adult life stages,adult life stages,0,life history,life cycle,,life cycle,adult life stages,,,,,CB
aquatic developmental stage,aquatic developmental stage,0,life history,life cycle,,life cycle,aquatic developmental stage,,,,,CB
aquatic stages,aquatic stages,0,life history,life cycle,,life cycle,aquatic stages,,,,,CB
highly diverse immature forms,highly diverse immature forms,1,life history,life cycle,,life cycle,highly diverse immature forms,,1,,CB: trait of insects - do they or do they not have multiple immature life forms,CB
life cycle,life cycle,0,life history,life cycle,,life cycle,life cycle,,,,,CB
life cycle strategy,life cycle strategy,0,life history,life cycle,,life cycle,life cycle strategy,,,,,CB
life stage,life stage,0,life history,life cycle,,life cycle,life stage,,,,,CB
number of aquatic stages,number of aquatic stages,0,life history,life cycle,,life cycle,number of aquatic stages,,,,,CB
paedomorphosis,paedomorphosis,0,life history,life cycle,,life cycle,paedomorphosis,,1,"NH: I've only encountered this in relation to delaying maturity, rockfish do this, and it's hard to tell what for, seemingly a cost benefit to do with availability of habitat to recruit to and avoiding large numbers of adults, and delaying the cost of reproduction to when an organism has a fighting chance to reproduce successfully and outcompete others. This can also be a response to resource availability. So for secondary classification someting like ""resource use"". I view this differently to acquiring resources also.",,NH
proportion of metamorphic phenotypes,proportion of metamorphic phenotypes,0,life history,life cycle,,life cycle,proportion of metamorphic phenotypes,,,,,CB
proportion of paedomorphic phenotypes,proportion of paedomorphic phenotypes,0,life history,life cycle,,life cycle,proportion of paedomorphic phenotypes,,,,,CB
diploid,diploid,0,morphology,life form,chromosome number,chromosome number,chromosome number,,,,,CB
ploidy,ploidy,1,morphology,life form,chromosome number,chromosome number,chromosome number,,,,,CB
grass,grass,1,morphology,life form,grass,grass,grass,,1,NH?,CB: binary trait 'yes/no' to grass life form,CB
grasses,grasses,1,morphology,life form,grass,grass,grass,,1,"NH: how is this different from ""grass""?",CB: binary trait 'yes/no' to grass life form,CB
legume,legume,1,morphology,life form,legume,legume,legume,,1,NH?,,CB
legumes,legumes,1,morphology,life form,legume,legume,legume,,1,NH?,,CB
leguminous,leguminous,1,morphology,life form,legume,legume,legume,,1,NH?,,CB
life form,life form,0,morphology,life form,life form,life form,life form,,,,,CB
life form classification,life form classification,0,morphology,life form,life form,life form,life form,,,,,CB
life forms,life forms,0,morphology,life form,life form,life form,life form,,,,,CB
plant life form,plant life form,0,morphology,life form,life form,life form,life form,,,,,CB
raunkaar's Life form,raunkaar's Life form,0,morphology,life form,life form,life form,life form,,,,,CB
raunkiaer life form,raunkiaer life form,0,morphology,life form,life form,life form,life form,,,,,CB
raunkiaer life-form,raunkiaer life-form,0,morphology,life form,life form,life form,life form,,,,,CB
raunkier's life form,raunkier's life form,0,morphology,life form,life form,life form,life form,,,,,CB
biological form,biological form,1,morphology,life form,life form,life form,life form,,1,NH?,,CB
plant type,plant type,1,morphology,life form,life form,life form,life form,,,,,CB
vegetative state,vegetative state,1,morphology,life form,life form,life form,life form,,,,,CB
life history,life history,0,life history,life history,,life history,life history,,,,,CB
life history parameters,life history parameters,0,life history,life history,,life history,life history parameters,,,,,CB
life history strategy,life history strategy,0,life history,life history,,life history,life history strategy,,,,,CB
adult life span,adult life span,0,life history,life span,,life span,adult life span,,,,,CB
adult longevity,adult longevity,0,life history,life span,,life span,adult longevity,,,,,CB
duration of life cycle,duration of life cycle,0,life history,life span,,life span,duration of life cycle,,,,,CB
generation length,generation length,0,life history,life span,,life span,generation length,,,,,CB
insect adult longevity,insect adult longevity,0,life history,life span,,life span,insect adult longevity,,,,,CB
life cycle duration,life cycle duration,0,life history,life span,,life span,life cycle duration,,,,,CB
life cycle length,life cycle length,0,life history,life span,,life span,life cycle length,,,,,CB
life expectancy,life expectancy,0,life history,life span,,life span,life expectancy,,,,,CB
life span,life span,0,life history,life span,,life span,life span,,,,,CB
life-cycle length,life-cycle length,0,life history,life span,,life span,life-cycle length,,,,,CB
lifespan,lifespan,0,life history,life span,,life span,lifespan,,,,,CB
longevity,longevity,0,life history,life span,,life span,longevity,,,,,CB
max lifespan,max lifespan,0,life history,life span,,life span,max lifespan,,,,,CB
total longevity,total longevity,0,life history,life span,,life span,total longevity,,,,,CB
reproductive lifespan,reproductive lifespan,0,life history,life span,,life span,reproductive lifespan,,,,,CB
ellenburg indicators for light,ellenburg indicators for light,0,resource acquisition,light requirement,,light requirement,ellenburg indicators for light,,,,,NH
light,light,0,resource acquisition,light requirement,,light requirement,light,,,,,NH
light condition,light condition,0,resource acquisition,light requirement,,light requirement,light condition,,,,,NH
light requirement,light requirement,0,resource acquisition,light requirement,,light requirement,light requirement,,,,,NH
light requirement for germination,light requirement for germination,0,resource acquisition,light requirement,,light requirement,light requirement for germination,,,,,NH
light uptake parameters,light uptake parameters,0,resource acquisition,light requirement,,light requirement,light uptake parameters,,,,,NH
shade tolerance,shade tolerance,0,resource acquisition,light requirement,,light requirement,shade tolerance,,,,,NH
shading,shading,0,resource acquisition,light requirement,,light requirement,shading,,,,,NH
shading preference,shading preference,0,resource acquisition,light requirement,,light requirement,shading preference,,,,,NH
foliar lignin percentage,foliar lignin percentage,0,composition,lignin,,lignin,foliar lignin percentage,,,,,CB
