Trait,DOI,Primary_classification,Secondary_classification
seed mass,10.14471/2016.36.015,life history,offspring size
seed mass,unknown_24,life history,offspring size
seed mass,10.1890/07-1737.1,life history,offspring size
seed mass,10.1126/science.1160662,life history,offspring size
seed mass,10.1111/geb.12306,life history,offspring size
seed mass,10.1111/j.1600-0706.2013.00979.x,life history,offspring size
seed mass,10.1890/10-0394.1,life history,offspring size
seed mass,unknown_5,life history,offspring size
seed mass,10.1046/j.1365-2435.2002.00664.x,life history,offspring size
seed mass,10.1890/13-2153.1,life history,offspring size
seed mass,10.1890/08-1025.1,life history,offspring size
seed mass,10.1111/jvs.12058,life history,offspring size
seed mass,10.1111/j.1600-0706.2012.20025.x,life history,offspring size
seed mass,10.1007/s00442-015-3430-3,life history,offspring size
seed mass,10.1111/1365-2745.12003,life history,offspring size
seed mass,10.1111/1365-2745.12333,life history,offspring size
seed mass,10.1111/ddi.12708,life history,offspring size
seed mass,10.1016/j.biocon.2013.12.008,life history,offspring size
seed mass of the dispersule,10.1111/j.1365-2745.2011.01932.x,life history,offspring size
seed mass of the germinule,10.1890/10-1961.1,life history,offspring size
seed mass of the germinule,10.1111/j.1365-2745.2011.01932.x,life history,offspring size
seed N concentration,10.1111/jvs.12066,composition,nitrogen
seed number,10.1111/1365-2664.12037,life history,fecundity
seed number,unknown_5,life history,fecundity
seed number,10.1111/j.1438-8677.2012.00684.x,life history,fecundity
seed number,10.1111/brv.12461,life history,fecundity
seed number,10.1002/ece3.3609,life history,fecundity
seed number,10.1111/j.1472-4642.2009.00599.x,life history,fecundity
seed number,unknown_14,life history,fecundity
seed number,10.1002/ece3.3268,life history,fecundity
seed oil,10.1007/s10531-014-0742-2,composition,lipid
seed output,10.1007/s10682-005-2005-x,life history,fecundity
seed persistence,10.1111/jvs.12245,survival,persistence
seed predation,10.1111/geb.12636,survival,predation
seed production,10.1111/1365-2745.12098,life history,fecundity
seed production,10.1034/j.1600-0587.2001.d01-206.x,life history,fecundity
seed production,10.1371/journal.pone.0090437,life history,fecundity
seed production,10.1002/ecs2.2374,life history,fecundity
seed production in relation to mature plant biomass,10.1111/wre.12126,life history,fecundity
seed protein,10.1007/s10531-014-0742-2,composition,protein
seed shape,10.1046/j.1365-2435.2002.00664.x,morphology,offspring attribute
seed shape,10.1890/08-1449.1,morphology,offspring attribute
seed shape,10.1111/jvs.12375,morphology,offspring attribute
seed shape,10.1002/ece3.4377,morphology,offspring attribute
seed shape,10.1111/1365-2664.12037,morphology,offspring attribute
seed shape,10.1111/j.1365-2664.2009.01714.x,morphology,offspring attribute
seed shape index,10.1002/ece3.3268,morphology,offspring attribute
seed shedding,10.1002/ece3.3268,life history,reproductive mode
seed size,10.1034/j.1600-0706.2000.880215.x,life history,offspring size
seed size,10.1093/jpe/rtv043,life history,offspring size
seed size,10.1890/08-1449.1,life history,offspring size
seed size,10.1111/j.1472-4642.2007.00381.x,life history,offspring size
seed size,10.1016/j.foreco.2018.06.006,life history,offspring size
seed size,10.1034/j.1600-0587.2001.d01-206.x,life history,offspring size
seed size,10.1890/15-1673.1,life history,offspring size
seed size,10.1111/j.1365-2435.2008.01477.x,life history,offspring size
seed size,10.1111/j.1365-2745.2005.01046.x,life history,offspring size
seed size,10.1111/jvs.12375,life history,offspring size
seed size,10.1111/j.1466-8238.2010.00641.x,life history,offspring size
seed size,10.1111/j.1654-1103.2012.01476.x,life history,offspring size
seed size,10.1111/j.1438-8677.2012.00684.x,life history,offspring size
seed size,10.1111/plb.12566,life history,offspring size
seed size,10.1111/j.1654-1103.2012.01469.x,life history,offspring size
seed size,10.1371/journal.pone.0090437,life history,offspring size
seed size,10.1111/ele.12157,life history,offspring size
seed spread rate,10.1111/oik.02277,activity,dispersal
seed surface structure,10.1111/jvs.12375,morphology,offspring attribute
seed terminal velocity,10.1111/j.1365-2745.2009.01610.x,morphology,offspring attribute
seed vigor,10.1111/oik.02277,morphology,offspring attribute
seed volume,10.1002/ecy.1990,life history,offspring size
seed weight,10.1098/rspb.2000.1010,life history,offspring size
seed weight,10.1080/17550874.2017.1345997,life history,offspring size
seed weight,10.1007/s10531-014-0742-2,life history,offspring size
seed weight,10.1111/j.1365-2745.2009.01610.x,life history,offspring size
seed weight,10.1111/j.1365-2664.2009.01714.x,life history,offspring size
seed weight,10.1002/ecs2.2374,life history,offspring size
seed weight,10.1111/jvs.12245,life history,offspring size
seed weight,10.1111/jvs.12151,life history,offspring size
seed weight,10.1614/WS-09-096.1,life history,offspring size
seed wet weight,10.1111/j.1472-4642.2009.00599.x,life history,offspring size
seed width,10.1111/j.1472-4642.2009.00599.x,life history,offspring size
seedbank persistence,10.1098/rspb.2014.2102,life history,reproductive timing
seeder,10.1080/17550874.2017.1345997,activity,dispersal
seedling growth,10.1111/brv.12461,growth,NA
seedling growth rate,10.1111/j.1365-2486.2007.01483.x,growth,rate
seedling relative growth rate,10.1890/10-1961.1,growth,rate
seeds dispersal,10.1007/s10531-014-0742-2,activity,dispersal
seeds initiated per capitulum,10.1890/11-2026.1,life history,fecundity
seeds per fruit,10.1111/jvs.12288,life history,fecundity
seeds per fruit,10.1111/j.1472-4642.2007.00381.x,life history,fecundity
senescence,10.1093/beheco/ars040,life history,senescence
senescence,10.1007/s10682-005-2005-x,life history,senescence
sense-related organs,10.1016/j.soilbio.2014.04.002,morphology,sensing
sensory organ,10.1016/j.soilbio.2014.04.002,morphology,sensing
sensory organ,10.1007/s10641-016-0481-1,morphology,sensing
septum thickness,10.1111/jbi.12284,morphology,NA
seral stage association,10.1007/BF00133308,habitat,NA
serum inhibitor ability,10.1098/rspb.2015.2841,life history,defense
sex,10.1111/jfb.12378,life history,sex
sex,10.1111/1365-2664.12493,life history,sex
sex,10.1111/jzo.12566,life history,sex
sex,10.1111/1365-2656.12020,life history,sex
sex,10.1111/jeb.12717,life history,sex
sex ratio,unknown_10,life history,sex
sexual chromatism,10.1007/s00265-006-0160-x,life history,sexual dimorphism
sexual dimorphism,unknown_26,life history,sexual dimorphism
sexual maturity age,10.1111/ecog.02968,life history,age/size at maturity
sexual size dimorphism,10.1111/j.1466-8238.2011.00719.x,morphology,sexual dimorphism
sexual size dimorphism,10.1046/j.1523-1739.2002.02283.x,morphology,sexual dimorphism
sexual system,10.1111/j.1654-1103.2012.01428.x,life history,sex
sexual system,10.1139/gen-2018-0039,life history,sex
shade tolerance,10.1111/jvs.12465,resource acquisition,light requirement
shade tolerance,10.1111/j.1365-2745.2005.01046.x,resource acquisition,light requirement
shade tolerance,10.1002/ece3.3297,resource acquisition,light requirement
shade tolerance,10.1111/oik.02277,resource acquisition,light requirement
shade tolerance,10.1111/j.1472-4642.2007.00381.x,resource acquisition,light requirement
shade tolerance,10.1016/j.foreco.2018.10.061,resource acquisition,light requirement
shading,10.1111/1365-2664.12493,resource acquisition,light requirement
shading preference,10.1111/j.1365-2656.2008.01443.x,resource acquisition,light requirement
shape,10.1007/s12080-014-0229-5,morphology,shape
shape,10.1111/j.1365-2664.2011.02039.x,morphology,shape
shape,10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2,morphology,shape
shape,10.1007/s10452-017-9634-3,morphology,shape
shape,10.1371/journal.pone.0082344,morphology,shape
shape,10.1111/fwb.12527,morphology,shape
shape factor,10.1007/s11160-017-9479-9,morphology,shape
shape factor,unknown_17,morphology,shape
shape factor,10.2307/1941217,morphology,shape
shape of brown mark on genae,10.1111/j.1095-8312.2010.01569.x,morphology,NA
shell aspect ratio,10.1016/S1385-1101(02)00220-4,morphology,shell traits
shell compression,10.1007/s10452-015-9546-z,morphology,shell traits
shell constitution,10.1007/s10452-015-9546-z,morphology,shell traits
shell ornamentation,10.1111/j.0014-3820.2005.tb01015.x,morphology,shell traits
shell shape,10.1111/j.0014-3820.2005.tb01015.x,morphology,shell traits
shell shape,10.1111/jbi.12946,morphology,shell traits
shell shape,10.1002/ece3.1084,morphology,shell traits
shell size,10.1002/ece3.1084,morphology,size
shell size,10.1016/S1385-1101(02)00220-4,morphology,size
shell strength,10.1186/1471-2148-14-156,morphology,shell traits
shelter emergence latency,10.1111/jeb.12769,activity,predator avoidance
shield weight,10.1007/s00265-010-1031-z,morphology,defense
shields affected survival,10.1007/s00265-010-1031-z,survival,survival
shifts of feeding behaviour relative to plant traits,10.1111/1365-2656.12161,resource acquisition,feeding mode
shoot height,10.1046/j.1365-2435.2002.00664.x,growth,NA
shoot height,10.1371/journal.pone.0131630,growth,NA
shoot root ratio,10.1111/1365-2745.12489,morphology,water intake
Si%,10.5194/bg-14-3371-2017,composition,silica
silica requirements,10.1007/s10452-017-9634-3,composition,silica
silica requirements,10.1007/s10750-015-2313-2,composition,silica
silica walls,10.1007/s10661-015-4519-1,morphology,defense
siliceous exoskeleton structures,10.1016/j.ecolind.2017.12.003,morphology,defense
siliceous exoskeletons,10.3390/w11020222,morphology,defense
silicum content,10.1007/s00442-018-4162-y,composition,silica
size,10.1111/fwb.12527,morphology,size
size,10.1007/s10646-013-1068-7,morphology,size
size,10.3390/math6120336,morphology,size
size,10.1111/1365-2435.12798,morphology,size
size,10.1111/j.1365-2427.1994.tb01756.x,morphology,size
size,unknown_13,morphology,size
size,10.1371/journal.pone.0126112,morphology,size
size,10.1111/1365-2435.12784,morphology,size
size,10.1111/j.1365-2664.2006.001175.x,morphology,size
size,10.1016/j.apsoil.2008.01.007,morphology,size
size,10.1016/S0167-8809(01)00333-4,morphology,size
size,10.1111/2041-210X.12591,morphology,size
size,10.1111/j.1365-2664.2011.02039.x,morphology,size
size,10.1111/1365-2656.12648,morphology,size
size,10.1016/j.ecss.2009.10.015,morphology,size
size,10.1111/fwb.13233,morphology,size
size,unknown_30,morphology,size
size,10.1890/08-1449.1,morphology,size
size,10.1111/j.1095-8312.2005.00465.x,morphology,size
size,10.1111/icad.12271,morphology,size
size at age,10.1111/j.1600-0633.2010.00465.x,growth,NA
size at maturation,10.1139/cjfas-2015-0190,life history,age/size at maturity
size at maturity,10.1016/j.jtbi.2010.12.006,life history,age/size at maturity
size at maturity,10.1899/10-041.1,life history,age/size at maturity
size at maturity,10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2,life history,age/size at maturity
size at maturity,10.1002/eco.1734,life history,age/size at maturity
size at maturity,10.2307/1941614,life history,age/size at maturity
size at maturity,10.1111/evo.12518,life history,age/size at maturity
size class,10.1016/j.ecolind.2016.02.060,morphology,size
size dimorphism,10.1650/0010-5422(2007)109[132:SSDAME]2.0.CO;2,morphology,sexual dimorphism
Size of clitellum,10.1111/jbi.12284,morphology,reproductive structure
size of home range,10.1111/ddi.12790,habitat,range
size of male pores,10.1111/jbi.12284,morphology,pores
size of nephridiopores,10.1111/jbi.12284,morphology,reproductive structure
size of offspring,10.1007/s004420000504,life history,offspring size
size of the heart,10.1111/jbi.12284,morphology,NA
size specific reproductive investment,10.1016/j.seares.2013.05.004,life history,energy allocation
skeletal density,10.1111/j.1461-0248.2012.01861.x,composition,tissue density
skeleton,10.1111/1365-2656.12218,morphology,NA
skull height,10.1007/s00442-014-3039-y,morphology,bone length/shape
SLA,10.1007/s00442-016-3547-z,morphology,leaf area
SLA,10.1002/ecy.2079,morphology,leaf area
SLA,10.1002/ece3.3609,morphology,leaf area
SLA,10.3389/fpls.2016.01224,morphology,leaf area
SLA,10.1007/s11284-016-1373-8,morphology,leaf area
SLA,10.1111/j.1365-2745.2010.01650.x,morphology,leaf area
SLA,10.1073/pnas.1315179111,morphology,leaf area
SLA,10.1890/09-1672.1,morphology,leaf area
SLA,10.1111/1365-2435.12075,morphology,leaf area
SLA,10.1111/ele.12532,morphology,leaf area
SLA,10.1016/j.ncon.2016.09.006,morphology,leaf area
SLA,10.1111/1365-2664.12922,morphology,leaf area
SLA,10.1016/j.ecss.2018.11.016,morphology,leaf area
SLA,10.1371/journal.pone.0130151,morphology,leaf area
SLA,10.1890/11-0975.1,morphology,leaf area
SLA,10.1111/1365-2745.12658,morphology,leaf area
SLA,10.1111/j.1654-1103.2011.01384.x,morphology,leaf area
SLA,10.1007/s00442-011-1980-6,morphology,leaf area
SLA,10.1111/1365-2745.12536,morphology,leaf area
SLA,10.1007/s00442-017-4041-y,morphology,leaf area
SLA,10.1111/1365-2745.12480,morphology,leaf area
SLA,10.1111/j.1365-2745.2010.01662.x,morphology,leaf area
SLA,10.1093/jpe/rtt075,morphology,leaf area
SLA,10.1046/j.1365-2435.2002.00664.x,morphology,leaf area
SLA,10.1093/jpe/rtv043,morphology,leaf area
SLA,10.1890/15-1673.1,morphology,leaf area
SLA,10.1111/1365-2745.12996,morphology,leaf area
SLA,10.1080/17550874.2016.1211192,morphology,leaf area
SLA,10.1126/science.1160662,morphology,leaf area
SLA,10.1038/srep35649,morphology,leaf area
SLA,10.1007/s00442-018-4162-y,morphology,leaf area
SLA,10.1016/j.ppees.2016.09.006,morphology,leaf area
SLA,10.1890/10-1961.1,morphology,leaf area
SLA,10.1556/ComEc.14.2013.1.4,morphology,leaf area
SLA,10.1111/1365-2745.12802,morphology,leaf area
SLA,10.1038/s41598-018-32078-x,morphology,leaf area
SLA,10.1111/1365-2435.12176,morphology,leaf area
SLA,10.1111/ele.13217,morphology,leaf area
SLA,10.1111/1365-2664.12516,morphology,leaf area
SLA,10.1111/j.1600-0706.2010.18411.x,morphology,leaf area
SLA,10.1007/s00035-018-0199-0,morphology,leaf area
SLA,10.1111/1365-2745.12012,morphology,leaf area
SLA,10.1111/jbi.13129,morphology,leaf area
SLA,10.1111/1365-2745.12598,morphology,leaf area
SLA,10.1007/s00442-015-3430-3,morphology,leaf area
SLA,10.1007/s00442-016-3700-8,morphology,leaf area
SLA,10.1111/1365-2745.12366,morphology,leaf area
SLA,10.1007/s00442-012-2431-8,morphology,leaf area
SLA,10.1111/1365-2745.12098,morphology,leaf area
SLA,unknown_14,morphology,leaf area
SLA,10.1111/j.1365-2745.2009.01610.x,morphology,leaf area
SLA,10.1111/geb.12783,morphology,leaf area
SLA,10.1016/j.foreco.2015.05.026,morphology,leaf area
SLA,10.1890/10-0394.1,morphology,leaf area
SLA,10.3390/f9030122,morphology,leaf area
SLA,10.1111/geb.12306,morphology,leaf area
SLA,10.1073/pnas.1310700110,morphology,leaf area
SLA,10.1002/eco.1655,morphology,leaf area
SLA,10.3390/f9110722,morphology,leaf area
SLA,10.1111/j.1600-0587.2013.00237.x,morphology,leaf area
SLA,10.1111/jvs.12256,morphology,leaf area
SLA,10.1086/368401,morphology,leaf area
SLA,10.1111/j.1558-5646.2010.01131.x,morphology,leaf area
SLA,10.3390/f9010019,morphology,leaf area
SLA,10.1111/j.1365-2486.2009.01905.x,morphology,leaf area
SLA,10.1111/jbi.13171,morphology,leaf area
SLA,10.1111/1365-2745.12489,morphology,leaf area
SLA,10.1111/jvs.12031,morphology,leaf area
SLA,10.1890/14-0454.1,morphology,leaf area
SLA,10.3389/fpls.2016.00189,morphology,leaf area
SLA,10.1007/s11104-018-3816-1,morphology,leaf area
SLA,10.1890/08-1025.1,morphology,leaf area
SLA,10.1016/j.ecoleng.2015.11.001,morphology,leaf area
SLA,10.1111/j.1365-2745.2011.01932.x,morphology,leaf area
SLA,10.1002/ece3.3268,morphology,leaf area
SLA,10.1007/s13593-013-0166-5,morphology,leaf area
SLA,10.1111/j.1461-0248.2006.01006.x,morphology,leaf area
SLA,10.1111/1365-2435.12120,morphology,leaf area
SLA,10.1111/j.1365-2435.2010.01727.x,morphology,leaf area
SLA,10.1111/jbi.12794,morphology,leaf area
SLA,10.1016/j.scitotenv.2016.04.004,morphology,leaf area
SLA,10.5061/dryad.m03vf,morphology,leaf area
SLA,10.1016/j.ecss.2015.05.023,morphology,leaf area
SLA,10.1111/jvs.12058,morphology,leaf area
SLA,10.1371/journal.pone.0131630,morphology,leaf area
SLA,10.1002/ece3.3297,morphology,leaf area
SLA,10.1111/j.1600-0706.2012.20261.x,morphology,leaf area
SLA,10.1111/j.1654-1103.2012.01424.x,morphology,leaf area
SLA,10.3389/fevo.2018.00219,morphology,leaf area
SLA,10.1002/eco.1533,morphology,leaf area
SLA,10.1111/j.1461-0248.2010.01541.x,morphology,leaf area
SLA,10.1002/ece3.1286,morphology,leaf area
SLA,10.1111/j.1365-2435.2009.01614.x,morphology,leaf area
SLA,10.1111/j.1466-8238.2010.00623.x,morphology,leaf area
SLA,10.1111/j.1600-0587.2012.00011.x,morphology,leaf area
SLA,10.1111/j.1466-8238.2012.00790.x,morphology,leaf area
SLA,10.1111/1365-2664.12623,morphology,leaf area
SLA,10.1111/j.1365-2745.2011.01795.x,morphology,leaf area
SLA,10.1111/ele.12642,morphology,leaf area
SLA,10.1002/ece3.3068,morphology,leaf area
SLA,10.1111/1365-2664.13134,morphology,leaf area
SLA,10.1093/jpe/rtt064,morphology,leaf area
SLA,unknown_5,morphology,leaf area
SLA,10.1111/1365-2745.12160,morphology,leaf area
SLA,10.1111/jvs.12066,morphology,leaf area
SLA,10.1007/s00442-015-3295-5,morphology,leaf area
SLA,10.14471/2016.36.018,morphology,leaf area
SLA,10.1890/13-2153.1,morphology,leaf area
SLA,10.1016/j.biocon.2013.12.008,morphology,leaf area
SLA,10.7717/peerj.3552,morphology,leaf area
SLA,10.1111/1365-2745.12747,morphology,leaf area
SLA,10.1007/s13595-019-0830-2,morphology,leaf area
SLA,10.1111/1365-2664.12935,morphology,leaf area
SLA,10.1111/mec.12756,morphology,leaf area
SLA,10.1111/ddi.12708,morphology,leaf area
SLA,10.1002/ecs2.2164,morphology,leaf area
SLA,10.1002/ecy.1990,morphology,leaf area
SLA,10.1111/jeb.12845,morphology,leaf area
SLA,10.1093/aob/mcx222,morphology,leaf area
SLA,10.1111/j.1365-2745.2010.01687.x,morphology,leaf area
SLA,10.1111/j.1600-0706.2013.00979.x,morphology,leaf area
SLA,10.1073/pnas.1319342111,morphology,leaf area
SLA,10.1111/j.1365-2745.2012.01966.x,morphology,leaf area
SLA,10.1111/1365-2745.12003,morphology,leaf area
SLA,unknown_29,morphology,leaf area
SLA,10.1890/14-2357.1,morphology,leaf area
SLA,10.14471/2016.36.015,morphology,leaf area
sleep behaviour,10.1111/ecog.02968,activity,sleep
slenderness,10.1890/08-1449.1,morphology,shape
slope of the power regression between tree height and diameter,10.1111/geb.12167,morphology,shape
small size,10.1046/j.1365-2427.1997.00166.x,morphology,size
smallest size of mature female sample,10.1002/eco.1734,life history,age/size at maturity
smoke requirement,10.1111/jvs.12375,resource acquisition,disturbance tolerance
snout,10.1111/faf.12347,morphology,snout
snout-to-vent length,10.1111/geb.12567,morphology,size
snout-vent length,10.1111/j.1095-8312.2007.00909.x,morphology,size
snout-vent length,10.1163/15685381-00003131,morphology,size
snout-vent length,10.1111/ele.12728,morphology,size
snout-vent length,10.1111/j.1466-8238.2011.00719.x,morphology,size
snout-vent length,10.1046/j.1523-1739.2002.02283.x,morphology,size
snout angle,10.1007/s00338-013-1042-0,morphology,snout
snout length,10.1007/s00338-013-1042-0,morphology,snout
snout length,10.1007/s11160-018-9522-5,morphology,snout
snout length closed,10.1111/1365-2435.12838,morphology,snout
snout length eye position,10.1007/s10641-016-0506-9,morphology,snout
snout length open,10.1111/1365-2435.12838,morphology,snout
snout vent length,10.1111/aec.12607,morphology,size
sociability,10.1093/beheco/arv115,activity,aggregation
social behaviour,10.1017/S0031182004005050,activity,aggregation
social behaviour,10.1007/s13744-012-0069-1,activity,aggregation
social grouping,10.1111/gcb.14119,activity,aggregation
social status,10.1111/1365-2435.13059,resource acquisition,competitive ability
sociality,10.1007/s00265-006-0160-x,activity,aggregation
sociality,10.1007/s10980-012-9820-6,activity,aggregation
sociality,10.1023/B:BIOC.0000004319.91643.9e,activity,aggregation
sociality,10.1111/ecog.00938,activity,aggregation
sociality,10.1890/14-0910.1,activity,aggregation
sociality,10.1016/j.anbehav.2012.01.032,activity,aggregation
sociality,10.1371/journal.pbio.0020197,activity,aggregation
sociality,10.1073/pnas.1721464115,activity,aggregation
sociality,10.1111/1365-2656.12648,activity,aggregation
sociality,10.1002/ecs2.2101,activity,aggregation
sociality,10.1111/ecog.02632,activity,aggregation
sociality,10.1111/oik.04507,activity,aggregation
soil aeration,10.1111/1365-2664.12493,habitat,soil traits
soil depth for emergence,10.1111/wre.12126,habitat,soil traits
soil humus,10.1111/1365-2664.12493,habitat,soil traits
soil layer,10.1111/1365-2664.12493,habitat,soil traits
Soil moisture,10.1111/j.1472-4642.2007.00381.x,habitat,soil traits
soil pH,10.1111/j.1472-4642.2007.00381.x,habitat,soil traits
soil proteins,10.1111/1365-2745.12633,habitat,soil traits
solitary colony formation,10.1111/j.1461-0248.2012.01861.x,activity,colony attributes
solitary vessel outline,10.1007/s00468-011-0632-0,morphology,shape
soluble C,10.5194/bg-14-3371-2017,composition,carbon
somatic wet mass of gonads,10.1111/j.1600-0633.2010.00465.x,morphology,reproductive structure
somatic wet mass of viscera,10.1111/j.1600-0633.2010.00465.x,morphology,size
space use,10.1111/jfb.12177,habitat,NA
spawning date,10.1016/j.limno.2015.10.005,life history,reproductive timing
spawning frequency,unknown_17,life history,reproductive timing
spawning habitat preference,10.1111/j.1365-2427.2009.02220.x,life history,reproductive habitat
spawning location,10.1007/s11160-016-9446-x,life history,reproductive habitat
spawning mechanism,10.1371/journal.pone.0093237,life history,reproductive mode
spawning method,10.1111/gcb.12780,life history,reproductive mode
spawning mode,10.1073/pnas.1304074110,life history,reproductive mode
spawning period,10.1111/j.1365-2427.2009.02220.x,life history,reproductive timing
spawning season,10.1007/s11160-016-9446-x,life history,reproductive timing
spawning season,10.1007/s10750-017-3208-1,life history,reproductive timing
spawning substrate,10.1002/aqc.1198,life history,reproductive habitat
spawning temperature,10.1007/s11160-017-9479-9,life history,reproductive habitat
spawning time,10.1371/journal.pone.0093237,life history,reproductive timing
specialist,10.1111/icad.12271,resource acquisition,niche space
specialization to wetlands,10.1111/icad.12271,resource acquisition,niche space
species behaviour,10.1111/2041-210X.12471,activity,behaviour
species insularity,10.1111/jbi.12808,habitat,insularity
species population density,10.1111/j.1461-0248.2009.01307.x,abundance,density
species status,10.7717/peerj.1410,abundance,managed species
specific area,10.3732/ajb.1400437,morphology,leaf area
specific density,10.1111/1365-2745.12489,abundance,density
specific growth rates,10.1038/srep29414,growth,rate
specific leaf weight,10.1007/s00035-017-0198-6,growth,NA
specific root area,10.1111/1365-2745.12747,morphology,water intake
specific root area,10.1111/1365-2745.12489,morphology,water intake
specific root density,10.1111/1365-2745.12489,morphology,water intake
specific root length,10.1890/10-0394.1,morphology,water intake
specific root length,unknown_22,morphology,water intake
specific root length,10.1111/jvs.12555,morphology,water intake
specific root length,10.1111/1365-2745.12489,morphology,water intake
specific root length,10.1007/s00442-015-3430-3,morphology,water intake
specific root length,10.1073/pnas.1310700110,morphology,water intake
specific root length,10.1890/10-1245.1,morphology,water intake
specific root length,10.1007/s13595-019-0830-2,morphology,water intake
specific root length,10.1046/j.1365-2435.2002.00664.x,morphology,water intake
specific stem density,10.1111/1365-2745.12489,morphology,tissue density
spectral reflectance,10.1111/j.1365-2656.2010.01759.x,morphology,coloration
speed of movement,10.1098/rsos.181702,morphology,mobility
spikiness,10.1111/j.1365-2745.2010.01743.x,morphology,defense
spine,10.1111/1365-2656.12218,morphology,defense
spinescence,10.1007/s00442-015-3295-5,morphology,defense
spinescence,10.1890/07-1737.1,morphology,defense
spinescence,10.1080/17550874.2017.1345997,morphology,defense
spinescence,10.1111/ecog.02516,morphology,defense
spininess,10.1890/08-1449.1,morphology,defense
spinosity,10.1007/s00442-014-3101-9,morphology,defense
spiracle position,10.1371/journal.pone.0196066,morphology,NA
spore formation,10.1016/j.ecolind.20.17.05.066,life history,fecundity
sprouting ratio,10.1007/s11284-016-1373-8,survival,survival
stable isotope,10.1016/j.dsr.2017.11.010,composition,stable isotope
stable isotope,10.1111/faf.12347,composition,stable isotope
stable isotope,10.1080/17451000.2013.793802,composition,stable isotope
stable isotope mean of C values,10.3390/insects10040103,composition,carbon
stable isotope mean of N values,10.3390/insects10040103,composition,nitrogen
stable isotopes,10.1051/kmae/2015033,composition,stable isotope
stable isotopes,10.1016/j.scitotenv.2018.09.256,composition,stable isotope
stable isotopes,10.1046/j.1365-2427.2002.00908.x,composition,stable isotope
stable isotopes,10.1111/1365-2435.12444,composition,stable isotope
stage-based survival,10.1017/S0952836900002016,survival,survival
stage of ovary development,10.1111/j.1600-0633.2010.00465.x,growth,maturity
staggered egg hatching,10.2307/1467813,life history,reproductive timing
stamen length,10.1007/s10681-014-1200-7,morphology,reproductive structure
stamen length,10.1111/1749-4877.12319,morphology,reproductive structure
standard dimension of floral display,10.1007/s10681-014-1200-7,morphology,reproductive structure
standard length,10.1007/s10641-016-0506-9,morphology,size
standard length,10.1098/rspb.2017.1345,morphology,size
standard length,10.1111/2041-210X.12211,morphology,size
standard length,10.1111/eff.12333,morphology,size
standard length,10.1111/mec.13746,morphology,size
standing height,10.1111/1365-2745.12489,morphology,size
start of flowering,10.1111/j.1600-0706.2012.20261.x,life history,reproductive timing
start of flowering,unknown_5,life history,reproductive timing
stationary position adjustments per minute,10.1111/j.1095-8312.2005.00465.x,activity,movement
stem diameter,10.2307/3547051,morphology,size
stem diameter,10.1371/journal.pone.0131630,morphology,size
stem dimension,10.1007/s13595-019-0830-2,morphology,size
stem dry mass content,10.1371/journal.pone.0131630,composition,energy density
stem dry matter content,10.1111/1365-2745.12489,composition,energy density
stem dry matter content,10.1111/1365-2745.12747,composition,energy density
stem hydraulic conductivity,10.1111/1365-2435.13079,morphology,reproductive structure
stem sapwood area,10.1890/13-2377.1,morphology,reproductive structure
stem specific density,10.1111/1365-2745.12802,morphology,NA
stem specific resistance,10.1111/1365-2435.12176,morphology,NA
stem succulence,10.1016/j.actao.2016.06.003,morphology,water intake
stem tissue,10.1111/oik.02277,morphology,NA
stem tissue density,10.1111/1365-2745.12366,composition,tissue density
stem wood specific gravity,10.1111/1365-2745.12160,morphology,tissue density
stemp-specific density,10.1016/j.foreco.2018.04.032,morphology,tissue density
stereotypy,10.1111/oik.01515,habitat,substrate
stock-recruit relationship curve slope,10.1111/1365-2656.12274,life history,fecundity
stomach diameter,10.1111/1365-2435.12838,morphology,stomach size
stomach length,10.1111/1365-2435.12838,morphology,stomach size
stomal density,10.1371/journal.pone.0035742,morphology,desication tolerance
stomatal area,10.1371/journal.pone.0035742,morphology,desication tolerance
stomatal density,10.1098/rspb.2015.1498,morphology,desication tolerance
stomatal density,10.1111/j.1558-5646.2010.01131.x,morphology,desication tolerance
stomatal length,10.1371/journal.pone.0035742,morphology,desication tolerance
stomatal length,10.3732/ajb.1400437,morphology,desication tolerance
stomatal surface,10.1007/s00227-014-2568-6,morphology,desication tolerance
stomatal width,10.1371/journal.pone.0035742,morphology,desication tolerance
storage organ,10.1371/journal.pone.0090437,morphology,storage
stratification,10.1111/jvs.12375,activity,dormancy
stratum of hunting,10.1111/j.1365-2699.2011.02502.x,habitat,vertical habitat
stream size affinity,10.1002/eap.1554/full,habitat,stream size
streamlined and with two or more life stages outside the stream,10.1046/j.1365-2427.1997.00166.x,habitat,velocity of medium (air/water)
strength,10.1007/s12080-014-0229-5,morphology,strength
stress tolerance,unknown_25,resource acquisition,disturbance tolerance
stress tolerance,10.1111/1365-2435.12894,resource acquisition,disturbance tolerance
stretched height,10.1111/1365-2745.12489,morphology,size
structural complexity of hunting habitat,10.1111/jav.01745,habitat,NA
stump diameter,10.1139/cjfr-2017-0139,morphology,size
subsequent morphospace,10.1007/s00114-017-1475-3,morphology,NA
substrate,10.1002/eap.1621,habitat,substrate
substrate,10.1371/journal.pone.0090437,habitat,substrate
substrate affinity,10.1002/eap.1554/full,habitat,substrate
substrate affinity,10.1111/geb.12475,habitat,substrate
